sponsor,color,wins,losses,ties,runs-for,runs-allowed,espys,,,,,,,,,,,,
SportsZone,Stark Pink,18,0,0,383,108,5598,,,,,,,,,,,,
Kik,Kryptonite,17,2,0,355,129,4118,,,,,,,,,,,,
Wilfs,Watermelon,17,2,0,296,78,1668,,,,,,,,,,,,
Reds Whites and Brews,Burgundy,16,3,0,319,111,3066,,,,,,,,,,,,
East Side Mario's,Sapphire,15,4,0,226,123,2336,,,,,,,,,,,,
Domus,Diamond,13,5,0,180,117,3904,,,,,,,,,,,,
Sentry,Sky,12,6,1,237,107,1835,,,,,,,,,,,,
Wilfs,Walnut,12,6,1,202,139,0,,,,,,,,,,,,
Spitz,Sunflower,10,8,0,184,184,3627,,,,,,,,,,,,
Frites,Flame,8,10,1,164,162,535,,,,,,,,,,,,
Morty's Pub,Mauve,8,10,1,113,203,1163,,,,,,,,,,,,
Chainsaw,Charcoal,7,12,0,130,141,703,,,,,,,,,,,,
Domus,Desert,6,13,0,143,210,611,,,,,,,,,,,,
Owl Rafting,Arsenic,6,13,0,111,206,1014,,,,,,,,,,,,
SBESS,Saffron,5,12,1,111,198,362,,,,,,,,,,,,
Waterloo,Wintergreen,3,14,2,111,239,1726,,,,,,,,,,,,
Mel's,Mint,3,14,2,108,236,945,,,,,,,,,,,,
Shoeless Joe's,Jade,2,15,2,58,283,1012,,,,,,,,,,,,
Crossroads,Crimson,1,14,2,56,228,995,,,,,,,,,,,,
SBESS,Silver,0,16,3,53,299,846,,,,,,,,,,,,
Fat Bastard Burrito,Black,19,0,0,255,75,1212,,,,,,,,,,,,
Brick Brewery,Blue,15,4,0,205,62,295,,,,,,,,,,,,
Chainsaw,Cherry,15,3,2,272,103,1981,,,,,,,,,,,,
Gatorade,Green,13,6,0,204,107,1287,,,,,,,,,,,,
Shoeless Joe's,Jasmine,13,6,0,189,111,647,,,,,,,,,,,,
Pita Factory,Fuchsia,13,6,0,162,127,178,,,,,,,,,,,,
Turret Nightclub,Turquoise,13,5,2,163,123,1124,,,,,,,,,,,,
Pabst,Blue,12,7,1,183,120,2412,,,,,,,,,,,,
Maxwell's,Marble,9,7,2,108,97,677,,,,,,,,,,,,
Night School,Navy,8,10,1,127,119,791,,,,,,,,,,,,
Morty's Pub,Moonstone,7,10,2,132,171,2686,,,,,,,,,,,,
Veritas,Vermillion,7,12,1,130,192,1073,,,,,,,,,,,,
Sleeman,Safety Yellow,6,12,0,99,215,179,,,,,,,,,,,,
Huether Hotel,Honeydew,6,11,3,119,135,874,,,,,,,,,,,,
Snapple Vodka,Vulcan,5,12,1,114,167,1505,,,,,,,,,,,,
Brick Brewery,Bronze,5,12,1,91,144,303,,,,,,,,,,,,
Turret Nightclub,Tangerine,5,11,3,88,158,442,,,,,,,,,,,,
GE,Electric Purple,4,13,1,84,197,906,,,,,,,,,,,,
Traces,Tan,4,14,0,93,215,1543,,,,,,,,,,,,
Gino's,Jasper,2,15,1,48,200,613,,,,,,,,,,,,